date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
10/19/21,2022,0,,MIL,BRK,1657.74989,1605.053732,0.706612826,0.293387174,1667.197782,1595.60584,,,,,,,1659.74363,1613.934913,0.700783361,0.299216639,127,104,92,14,53
10/19/21,2022,0,,LAL,GSW,1549.258851,1529.010908,0.666456772,0.333543228,1536.851828,1541.417931,,,,,,,1510.584522,1530.407615,0.60848774,0.39151226,114,121,59,54,57
10/20/21,2022,0,,CHO,IND,1438.333792,1487.419833,0.572751054,0.427248946,1441.652424,1484.1012,,,,,,,1457.19637,1532.967268,0.536682027,0.463317973,123,122,48,51,50
10/20/21,2022,0,,DET,CHI,1380.825861,1495.430593,0.478994472,0.521005528,1373.503545,1502.752909,,,,,,,1369.777383,1512.209592,0.442542532,0.557457468,88,94,26,19,23
10/20/21,2022,0,,NYK,BOS,1547.753492,1499.792561,0.700930255,0.299069745,1551.135967,1496.410086,,,,,,,1551.388832,1594.169478,0.572710788,0.427289212,138,134,78,46,62
10/20/21,2022,0,,TOR,WAS,1449.348147,1494.785854,0.577882244,0.422117756,1433.077337,1511.056663,,,,,,,1461.247869,1525.861517,0.546016832,0.453983168,83,98,48,66,57
10/20/21,2022,0,,MEM,CLE,1540.75438,1352.696783,0.839995262,0.160004738,1543.618172,1349.832991,,,,,,,1551.402186,1371.143932,0.832456234,0.167543766,132,121,32,9,21
10/20/21,2022,0,,NOP,PHI,1482.179835,1609.071634,0.461376688,0.538623312,1467.383214,1623.868256,,,,,,,1529.56647,1654.186224,0.462987468,0.537012532,97,117,83,18,51
10/20/21,2022,0,,MIN,HOU,1439.446279,1346.47428,0.752284957,0.247715043,1445.98283,1339.937729,,,,,,,1500.226308,1317.589458,0.840649807,0.159350193,124,106,16,8,12
10/20/21,2022,0,,SAS,ORL,1477.617183,1330.467357,0.805762714,0.194237286,1484.012535,1324.072004,,,,,,,1489.702243,1314.063227,0.833603212,0.166396788,123,97,14,5,10
10/20/21,2022,0,,UTA,OKC,1615.06437,1309.05502,0.911909631,0.088090369,1617.31816,1306.801231,,,,,,,1641.616689,1297.212592,0.940733193,0.059266807,107,86,30,0,15
10/20/21,2022,0,,PHO,DEN,1650.23158,1577.362511,0.730096919,0.269903081,1630.513539,1597.080552,,,,,,,1651.38541,1594.785883,0.717770765,0.282229235,98,110,90,10,50
10/20/21,2022,0,,POR,SAC,1581.015607,1454.318618,0.786670702,0.213329298,1570.271051,1465.063173,,,,,,,1619.912596,1453.118951,0.819449861,0.180550139,121,124,64,14,39
10/21/21,2022,0,,ATL,DAL,1570.150094,1540.788162,0.678015587,0.321984413,1581.656873,1529.281384,,,,,,,1629.260997,1608.330455,0.674722012,0.325277988,113,87,89,14,52
10/21/21,2022,0,,MIA,MIL,1512.586137,1667.197782,0.422048455,0.577951545,1546.457382,1633.326537,,,,,,,1546.17347,1546.260107,0.639965772,0.360034228,137,95,69,24,47
10/21/21,2022,0,,GSW,LAC,1541.417931,1624.110628,0.52488663,0.47511337,1545.946595,1619.581964,,,,,,,1534.919762,1564.714339,0.589356742,0.410643258,115,113,71,42,57
10/22/21,2022,0,,WAS,IND,1511.056663,1484.1012,0.67498396,0.32501604,1513.441791,1481.716072,,,,,,,1510.654985,1537.006515,0.594034769,0.405965231,135,134,60,57,59
10/22/21,2022,0,,CLE,CHO,1349.832991,1441.652424,0.511770607,0.488229393,1338.488159,1452.997256,,,,,,,1368.373196,1456.518979,0.512794049,0.487205951,112,123,18,13,16
10/22/21,2022,0,,ORL,NYK,1324.072004,1551.135967,0.324879036,0.675120964,1312.764344,1562.443627,,,,,,,1296.966151,1530.276484,0.307951635,0.692048365,96,121,16,14,15
10/22/21,2022,0,,BOS,TOR,1496.410086,1433.077337,0.719143868,0.280856132,1458.491478,1470.995945,,,,,,,1594.888493,1490.365374,0.757942154,0.242057846,83,115,67,36,52
10/22/21,2022,0,,PHI,BRK,1623.868256,1595.60584,0.676632276,0.323367724,1613.255891,1606.218205,,,,,,,1634.167528,1609.000804,0.659871764,0.340128236,109,114,90,10,50
10/22/21,2022,0,,CHI,NOP,1502.752909,1467.383214,0.68551858,0.31448142,1510.73122,1459.404903,,,,,,,1512.841638,1511.077193,0.644023145,0.355976855,128,112,56,46,51
10/22/21,2022,0,,HOU,OKC,1339.937729,1306.801231,0.682740607,0.317259393,1353.379924,1293.359036,,,,,,,1312.259898,1296.685565,0.651976245,0.348023755,124,91,2,0,1
10/22/21,2022,0,,DEN,SAS,1597.080552,1484.012535,0.773208579,0.226791421,1600.077194,1481.015893,,,,,,,1602.213215,1489.319077,0.811114483,0.188885517,102,96,68,16,42
10/22/21,2022,0,,SAC,UTA,1465.063173,1617.31816,0.425360979,0.574639021,1457.11467,1625.266663,,,,,,,1457.450359,1640.710994,0.372715212,0.627284788,101,110,68,12,40
10/22/21,2022,0,,LAL,PHO,1536.851828,1630.513539,0.50912052,0.49087948,1526.231162,1641.134205,,,,,,,1493.218318,1641.957604,0.425454945,0.574545055,105,115,75,36,56
10/23/21,2022,0,,CLE,ATL,1338.488159,1581.656873,0.304884424,0.695115576,1350.628989,1569.516043,,,,,,,1357.224841,1624.830812,0.227686082,0.772313918,101,95,42,4,23
10/23/21,2022,0,,IND,MIA,1481.716072,1546.457382,0.550567859,0.449432141,1491.34227,1536.831185,,,,,,,1533.868868,1536.279903,0.575994087,0.424005913,102,91,65,57,61
10/23/21,2022,0,,TOR,DAL,1470.995945,1529.281384,0.559745271,0.440254729,1460.480836,1539.796493,,,,,,,1504.392692,1600.330435,0.434564455,0.565435545,95,103,71,48,60
10/23/21,2022,0,,MIN,NOP,1445.98283,1459.404903,0.622079163,0.377920837,1451.929657,1453.458076,,,,,,,1526.738428,1511.603357,0.719095315,0.280904685,96,89,59,51,55
10/23/21,2022,0,,CHI,DET,1510.73122,1373.503545,0.796667084,0.203332916,1515.333012,1368.901753,,,,,,,1515.137629,1367.893099,0.759764842,0.240235158,97,82,26,14,20
10/23/21,2022,0,,SAS,MIL,1481.015893,1633.326537,0.425282669,0.574717331,1472.543687,1641.798743,,,,,,,1488.81894,1594.485857,0.42598356,0.57401644,111,121,67,26,47
10/23/21,2022,0,,POR,PHO,1570.271051,1641.134205,0.541833267,0.458166733,1589.374213,1622.031043,,,,,,,1608.910962,1646.802456,0.648524701,0.351475299,134,105,91,22,57
10/23/21,2022,0,,LAC,MEM,1619.581964,1543.618172,0.73359297,0.26640703,1606.377858,1556.822278,,,,,,,1592.549289,1551.948092,0.694529876,0.305470124,114,120,78,45,62
10/24/21,2022,0,,BRK,CHO,1606.218205,1452.997256,0.81117405,0.18882595,1577.61618,1481.599281,,,,,,,1608.959212,1474.663744,0.788773235,0.211226765,95,111,67,20,44
10/24/21,2022,0,,OKC,PHI,1293.359036,1613.255891,0.219972257,0.780027743,1289.005593,1617.609333,,,,,,,1309.524197,1596.774135,0.262902244,0.737097756,103,115,26,2,14
10/24/21,2022,0,,NYK,ORL,1562.443627,1312.764344,0.882146494,0.117853506,1543.502046,1331.705925,,,,,,,1566.410369,1305.539356,0.884346818,0.115653182,104,110,22,4,13
10/24/21,2022,0,,HOU,BOS,1353.379924,1458.491478,0.492644412,0.507355588,1343.196715,1468.674687,,,,,,,1351.457771,1553.748151,0.360099888,0.639900112,97,107,29,14,22
10/24/21,2022,0,,SAC,GSW,1457.11467,1545.946595,0.516066619,0.483933381,1444.996274,1558.064991,,,,,,,1465.575412,1539.822114,0.526888373,0.473111627,107,119,51,48,50
10/24/21,2022,0,,LAL,MEM,1526.231162,1556.822278,0.598579455,0.401420545,1530.483423,1552.570016,,,,,,,1495.832693,1552.751829,0.618096236,0.381903764,121,118,60,57,59
10/25/21,2022,0,,IND,MIL,1491.34227,1641.798743,0.427893505,0.572106495,1482.805898,1650.335114,,,,,,,1550.430795,1593.651849,0.587508703,0.412491297,109,119,78,31,55
10/25/21,2022,0,,CHO,BOS,1481.599281,1468.674687,0.657020876,0.342979124,1465.692911,1484.581057,,,,,,,1450.123917,1574.94992,0.465916278,0.534083722,129,140,55,55,55
10/25/21,2022,0,,BRK,WAS,1577.61618,1513.441791,0.720121376,0.279878624,1583.979806,1507.078165,,,,,,,1618.018004,1513.581824,0.70589316,0.29410684,104,90,75,39,57
10/25/21,2022,0,,TOR,CHI,1460.480836,1515.333012,0.564609686,0.435390314,1453.931243,1521.882604,,,,,,,1503.271342,1508.564966,0.6292863,0.3707137,108,111,53,66,60
10/25/21,2022,0,,MIA,ORL,1536.831185,1331.705925,0.852763509,0.147236491,1540.298177,1328.238933,,,,,,,1531.876624,1317.48036,0.884270606,0.115729394,107,90,20,6,13
10/25/21,2022,0,,ATL,DET,1569.516043,1368.901753,0.849473162,0.150526838,1573.212319,1365.205478,,,,,,,1615.704163,1360.496752,0.886360268,0.113639732,122,104,41,2,22
10/25/21,2022,0,,MIN,NOP,1451.929657,1453.458076,0.638035546,0.361964454,1438.446426,1466.941307,,,,,,,1515.908355,1510.551263,0.646870175,0.353129825,98,107,56,59,58
10/25/21,2022,0,,DEN,CLE,1600.077194,1350.628989,0.882008132,0.117991868,1571.585672,1379.12051,,,,,,,1611.508152,1374.848106,0.900709854,0.099290146,87,99,44,1,23
10/25/21,2022,0,,LAC,POR,1606.377858,1589.374213,0.662292491,0.337707509,1619.881812,1575.870259,,,,,,,1586.698549,1609.539053,0.608453578,0.391546422,116,86,85,38,62
10/26/21,2022,0,,NYK,PHI,1543.502046,1617.609333,0.537193776,0.462806224,1554.613215,1606.498164,,,,,,,1560.356882,1599.864675,0.587052174,0.412947826,112,99,80,27,54
10/26/21,2022,0,,OKC,GSW,1289.005593,1558.064991,0.274246294,0.725753706,1284.618942,1562.451642,,,,,,,1287.783293,1546.451433,0.299652683,0.700347317,98,106,16,12,14
10/26/21,2022,0,,SAS,LAL,1472.543687,1530.483423,0.560235615,0.439764385,1465.210671,1537.816439,,,,,,,1474.258512,1457.66254,0.668629443,0.331370557,121,125,36,43,40
10/26/21,2022,0,,DAL,HOU,1539.796493,1343.196715,0.846494274,0.153505726,1542.37151,1340.621698,,,,,,,1604.9636,1347.11413,0.881085267,0.118914733,116,106,36,3,20
10/26/21,2022,0,,UTA,DEN,1625.266663,1571.585672,0.707786728,0.292213272,1631.322627,1565.529708,,,,,,,1640.976278,1602.492768,0.77443209,0.22556791,122,110,90,6,48
10/27/21,2022,0,,ORL,CHO,1328.238933,1465.692911,0.446307222,0.553692778,1319.803139,1474.128704,,,,,,,1316.742746,1454.515048,0.43844538,0.56155462,111,120,11,14,13
10/27/21,2022,0,,NOP,ATL,1466.941307,1573.212319,0.490976267,0.509023733,1461.478989,1578.674636,,,,,,,1509.913348,1620.327444,0.468315028,0.531684972,99,102,75,37,56
10/27/21,2022,0,,TOR,IND,1453.931243,1482.805898,0.600951291,0.399048709,1465.432255,1471.304886,,,,,,,1500.976167,1554.107528,0.56312768,0.43687232,118,100,62,64,63
10/27/21,2022,0,,BRK,MIA,1583.979806,1540.298177,0.695740957,0.304259043,1564.715997,1559.561986,,,,,,,1610.467038,1545.955223,0.719674606,0.280325394,93,106,79,30,55
10/27/21,2022,0,,BOS,WAS,1484.581057,1507.078165,0.609721691,0.390278309,1471.926598,1519.732625,,,,,,,1589.206078,1520.937656,0.712094565,0.287905435,107,116,72,46,59
10/27/21,2022,0,,OKC,LAL,1284.618942,1537.816439,0.292789243,0.707210757,1299.254636,1523.180745,,,,,,,1305.223047,1350.989746,0.585239003,0.414760997,123,115,3,19,11
10/27/21,2022,0,,MIL,MIN,1650.335114,1438.446426,0.857585078,0.142414922,1634.251873,1454.529667,,,,,,,1578.519042,1510.702568,0.721866914,0.278133086,108,113,68,20,44
10/27/21,2022,0,,POR,MEM,1575.870259,1552.570016,0.670351055,0.329648945,1585.700117,1542.740159,,,,,,,1604.448515,1551.596892,0.698434515,0.301565485,116,96,79,40,60
10/27/21,2022,0,,PHO,SAC,1622.031043,1444.996274,0.831281988,0.168718012,1610.089765,1456.937552,,,,,,,1615.959272,1462.480008,0.811156464,0.188843536,107,110,65,11,38
10/27/21,2022,0,,LAC,CLE,1619.881812,1379.12051,0.876703814,0.123296186,1590.345946,1408.656377,,,,,,,1588.533623,1387.934347,0.849049865,0.150950135,79,92,43,6,25
